,x
1,白云机场 600004
2,武钢股份 600005
3,东风汽车 600006
4,中国国贸 600007
5,首创股份 600008
6,上海机场 600009
7,包钢股份 600010
8,华能国际 600011
9,皖通高速 600012
10,华夏银行 600015
11,民生银行 600016
12,日照港 600017
13,上港集团 600018
14,宝钢股份 600019
15,中原高速 600020
16,上海电力 600021
17,济南钢铁 600022
18,中海发展 600026
19,华电国际 600027
20,中国石化 600028
21,南方航空 600029
22,中信证券 600030
23,三一重工 600031
24,福建高速 600033
25,楚天高速 600035
26,招商银行 600036
27,歌华有线 600037
28,哈飞股份 600038
29,四川路桥 600039
30,保利地产 600048
31,中国联通 600050
32,宁波联合 600051
33,浙江广厦 600052
34,中江地产 600053
35,黄山旅游 600054
36,万东医疗 600055
37,中国医药 600056
38,五矿发展 600058
39,古越龙山 600059
40,海信电器 600060
41,中纺投资 600061
42,双鹤药业 600062
43,皖维高新 600063
44,南京高科 600064
45,宇通客车 600066
46,冠城大通 600067
47,葛洲坝 600068
48,银鸽投资 600069
49,浙江富润 600070
50,凤凰光学 600071
51,中船股份 600072
52,上海梅林 600073
53,中达股份 600074
54,新疆天业 600075
55,ST华光 600076
56,*ST百科 600077
57,澄星股份 600078
58,人福医药 600079
59,*ST金花 600080
60,东风科技 600081
61,海泰发展 600082
62,*ST博信 600083
63,*ST中葡 600084
64,同仁堂 600085
65,东方金钰 600086
66,长航油运 600087
67,中视传媒 600088
68,特变电工 600089
69,啤酒花 600090
70,*ST明科 600091
71,禾嘉股份 600093
72,哈高科 600095
73,云天化 600096
74,开创国际 600097
75,广州控股 600098
76,林海股份 600099
77,同方股份 600100
78,明星电力 600101
79,莱钢股份 600102
80,青山纸业 600103
81,上海汽车 600104
82,永鼎股份 600105
83,重庆路桥 600106
84,美尔雅 600107
85,亚盛集团 600108
86,国金证券 600109
87,中科英华 600110
88,包钢稀土 600111
89,长征电气 600112
90,浙江东日 600113
91,东睦股份 600114
92,东方航空 600115
93,三峡水利 600116
94,西宁特钢 600117
95,中国卫星 600118
96,长江投资 600119
97,浙江东方 600120
98,郑州煤电 600121
99,宏图高科 600122
100,兰花科创 600123
101,铁龙物流 600125
102,杭钢股份 600126
103,金健米业 600127
104,弘业股份 600128
105,太极集团 600129
106,ST波导 600130
107,*ST岷电 600131
108,重庆啤酒 600132
109,东湖高新 600133
110,乐凯胶片 600135
111,道博股份 600136
112,浪莎股份 600137
113,中青旅 600138
114,西部资源 600139
115,兴发集团 600141
116,金发科技 600143
117,*ST四维 600145
118,大元股份 600146
119,长春一东 600148
120,*ST建通 600149
121,中国船舶 600150
122,航天机电 600151
123,维科精华 600152
124,建发股份 600153
125,*ST宝硕 600155
126,华升股份 600156
127,永泰能源 600157
128,中体产业 600158
129,大龙地产 600159
130,巨化股份 600160
131,天坛生物 600161
132,香江控股 600162
133,福建南纸 600163
134,宁夏恒力 600165
135,福田汽车 600166
136,联美控股 600167
137,武汉控股 600168
138,太原重工 600169
139,上海建工 600170
140,上海贝岭 600171
141,黄河旋风 600172
142,卧龙地产 600173
143,美都控股 600175
144,中国玻纤 600176
145,雅戈尔 600177
146,东安动力 600178
147,*ST黑化 600179
148,*ST九发 600180
149,S佳通 600182
150,生益科技 600183
151,光电股份 600184
152,格力地产 600185
153,莲花味精 600186
154,国中水务 600187
155,兖州煤业 600188
156,吉林森工 600189
157,锦州港 600190
158,华资实业 600191
159,长城电工 600192
160,创兴置业 600193
161,中牧股份 600195
162,复星医药 600196
163,伊力特 600197
164,大唐电信 600198
165,金种子酒 600199
166,江苏吴中 600200
167,金宇集团 600201
168,哈空调 600202
169,*ST福日 600203
170,有研硅股 600206
171,ST安彩 600207
172,新湖中宝 600208
173,*ST罗顿 600209
174,紫江企业 600210
175,西藏药业 600211
176,江泉实业 600212
177,亚星客车 600213
178,长春经开 600215
179,浙江医药 600216
180,*ST秦岭 600217
181,全柴动力 600218
182,南山铝业 600219
183,江苏阳光 600220
184,海南航空 600221
185,太龙药业 600222
186,鲁商置业 600223
187,天津松江 600225
188,升华拜克 600226
189,赤天化 600227
190,昌九生化 600228
191,青岛碱业 600229
192,沧州大化 600230
193,凌钢股份 600231
194,金鹰股份 600232
195,大杨创世 600233
196,ST天龙 600234
197,民丰特纸 600235
198,桂冠电力 600236
199,铜峰电子 600237
200,海南椰岛 600238
201,云南城投 600239
202,华业地产 600240
203,时代万恒 600241
204,ST华龙 600242
205,青海华鼎 600243
206,万通地产 600246
207,成城股份 600247
208,延长化建 600248
209,两面针 600249
210,南纺股份 600250
211,冠农股份 600251
212,中恒集团 600252
213,天方药业 600253
214,鑫科材料 600255
215,广汇股份 600256
216,大湖股份 600257
217,首旅股份 600258
218,广晟有色 600259
219,凯乐科技 600260
220,阳光照明 600261
221,北方股份 600262
222,路桥建设 600263
223,景谷林业 600265
224,北京城建 600266
225,海正药业 600267
226,国电南自 600268
227,赣粤高速 600269
228,外运发展 600270
229,航天信息 600271
230,开开实业 600272
231,华芳纺织 600273
232,ST昌鱼 600275
233,恒瑞医药 600276
234,亿利能源 600277
235,东方创业 600278
236,重庆港九 600279
237,南京中商 600280
238,太化股份 600281
239,南钢股份 600282
240,钱江水利 600283
241,浦东建设 600284
242,羚锐制药 600285
243,江苏舜天 600287
244,大恒科技 600288
245,亿阳信通 600289
246,华仪电气 600290
247,西水股份 600291
248,九龙电力 600292
249,三峡新材 600293
250,鄂尔多斯 600295
251,美罗药业 600297
252,安琪酵母 600298
253,*ST新材 600299
254,维维股份 600300
255,*ST南化 600301
256,标准股份 600302
257,曙光股份 600303
258,恒顺醋业 600305
259,商业城 600306
260,酒钢宏兴 600307
261,华泰股份 600308
262,烟台万华 600309
263,桂东电力 600310
264,荣华实业 600311
265,平高电气 600312
266,上海家化 600315
267,洪都航空 600316
268,营口港 600317
269,巢东股份 600318
270,亚星化学 600319
271,振华重工 600320
272,国栋建设 600321
273,天房发展 600322
274,南海发展 600323
275,华发股份 600325
276,西藏天路 600326
277,大厦股份 600327
278,兰太实业 600328
279,中新药业 600329
280,天通股份 600330
281,宏达股份 600331
282,广州药业 600332
283,长春燃气 600333
284,*ST盛工 600335
285,澳柯玛 600336
286,美克股份 600337
287,ST珠峰 600338
288,天利高新 600339
289,ST国祥 600340
290,航天动力 600343
291,长江通信 600345
292,大橡塑 600346
293,国阳新能 600348
294,山东高速 600350
295,亚宝药业 600351
296,浙江龙盛 600352
297,旭光股份 600353
298,敦煌种业 600354
299,*ST精伦 600355
300,恒丰纸业 600356
301,国旅联合 600358
302,新农开发 600359
303,华微电子 600360
304,华联综超 600361
305,江西铜业 600362
306,联创光电 600363
307,*ST通葡 600365
308,宁波韵升 600366
309,红星发展 600367
310,五洲交通 600368
311,西南证券 600369
312,三房巷 600370
313,万向德农 600371
314,ST昌河 600372
315,*ST鑫新 600373
316,星马汽车 600375
317,首开股份 600376
318,宁沪高速 600377
319,天科股份 600378
320,宝光股份 600379
321,健康元 600380
322,ST贤成 600381
323,广东明珠 600382
324,金地集团 600383
325,ST金泰 600385
326,北巴传媒 600386
327,海越股份 600387
328,龙净环保 600388
329,江山股份 600389
330,金瑞科技 600390
331,成发科技 600391
332,太工天成 600392
333,东华实业 600393
334,盘江股份 600395
335,金山股份 600396
336,安源股份 600397
337,凯诺科技 600398
338,抚顺特钢 600399
339,红豆股份 600400
340,大有能源 600403
341,动力源 600405
342,国电南瑞 600406
343,安泰集团 600408
344,三友化工 600409
345,华胜天成 600410
346,小商品城 600415
347,湘电股份 600416
348,江淮汽车 600418
349,ST天宏 600419
350,现代制药 600420
351,ST国药 600421
352,昆明制药 600422
353,柳化股份 600423
354,青松建化 600425
355,华鲁恒升 600426
356,中远航运 600428
357,三元股份 600429
358,吉恩镍业 600432
359,冠豪高新 600433
360,中兵光电 600435
361,片仔癀 600436
362,通威股份 600438
363,瑞贝卡 600439
364,*ST国通 600444
365,金证股份 600446
366,华纺股份 600448
367,赛马实业 600449
368,涪陵电力 600452
369,*ST博通 600455
370,宝钛股份 600456
371,时代新材 600458
372,贵研铂业 600459
373,士兰微 600460
374,洪城水业 600461
375,*ST石岘 600462
376,空港股份 600463
377,迪康药业 600466
378,好当家 600467
379,百利电气 600468
380,风神股份 600469
381,六国化工 600470
382,华光股份 600475
383,湘邮科技 600476
384,杭萧钢构 600477
385,科力远 600478
386,千金药业 600479
387,凌云股份 600480
388,双良节能 600481
389,风帆股份 600482
390,福建南纺 600483
391,中创信测 600485
392,扬农化工 600486
393,亨通光电 600487
394,天药股份 600488
395,中金黄金 600489
396,*ST合臣 600490
397,龙元建设 600491
398,凤竹纺织 600493
399,晋西车轴 600495
400,精工钢构 600496
401,驰宏锌锗 600497
402,烽火通信 600498
403,科达机电 600499
404,中化国际 600500
