"","x"
"1","浦发银行 600000"
"2","白云机场 600004"
"3","武钢股份 600005"
"4","东风汽车 600006"
"5","中国国贸 600007"
"6","首创股份 600008"
"7","上海机场 600009"
"8","包钢股份 600010"
"9","华能国际 600011"
"10","皖通高速 600012"
"11","华夏银行 600015"
"12","民生银行 600016"
"13","日照港 600017"
"14","上港集团 600018"
"15","宝钢股份 600019"
"16","中原高速 600020"
"17","上海电力 600021"
"18","济南钢铁 600022"
"19","中海发展 600026"
"20","华电国际 600027"
"21","中国石化 600028"
"22","南方航空 600029"
"23","中信证券 600030"
"24","三一重工 600031"
"25","福建高速 600033"
"26","楚天高速 600035"
"27","招商银行 600036"
"28","歌华有线 600037"
"29","哈飞股份 600038"
"30","四川路桥 600039"
"31","保利地产 600048"
"32","中国联通 600050"
"33","宁波联合 600051"
"34","浙江广厦 600052"
"35","中江地产 600053"
"36","黄山旅游 600054"
"37","万东医疗 600055"
"38","中国医药 600056"
"39","五矿发展 600058"
"40","古越龙山 600059"
"41","海信电器 600060"
"42","中纺投资 600061"
"43","双鹤药业 600062"
"44","皖维高新 600063"
"45","南京高科 600064"
"46","宇通客车 600066"
"47","冠城大通 600067"
"48","葛洲坝 600068"
"49","银鸽投资 600069"
"50","浙江富润 600070"
"51","凤凰光学 600071"
"52","中船股份 600072"
"53","上海梅林 600073"
"54","中达股份 600074"
"55","新疆天业 600075"
"56","ST华光 600076"
"57","*ST百科 600077"
"58","澄星股份 600078"
"59","人福医药 600079"
"60","*ST金花 600080"
"61","东风科技 600081"
"62","海泰发展 600082"
"63","*ST博信 600083"
"64","*ST中葡 600084"
"65","同仁堂 600085"
"66","东方金钰 600086"
"67","长航油运 600087"
"68","中视传媒 600088"
"69","特变电工 600089"
"70","啤酒花 600090"
"71","*ST明科 600091"
"72","禾嘉股份 600093"
"73","哈高科 600095"
"74","云天化 600096"
"75","开创国际 600097"
"76","广州控股 600098"
"77","林海股份 600099"
"78","同方股份 600100"
"79","明星电力 600101"
"80","莱钢股份 600102"
"81","青山纸业 600103"
"82","上海汽车 600104"
"83","永鼎股份 600105"
"84","重庆路桥 600106"
"85","美尔雅 600107"
"86","亚盛集团 600108"
"87","国金证券 600109"
"88","中科英华 600110"
"89","包钢稀土 600111"
"90","长征电气 600112"
"91","浙江东日 600113"
"92","东睦股份 600114"
"93","东方航空 600115"
"94","三峡水利 600116"
"95","西宁特钢 600117"
"96","中国卫星 600118"
"97","长江投资 600119"
"98","浙江东方 600120"
"99","郑州煤电 600121"
"100","宏图高科 600122"
"101","兰花科创 600123"
"102","铁龙物流 600125"
"103","杭钢股份 600126"
"104","金健米业 600127"
"105","弘业股份 600128"
"106","太极集团 600129"
"107","ST波导 600130"
"108","*ST岷电 600131"
"109","重庆啤酒 600132"
"110","东湖高新 600133"
"111","乐凯胶片 600135"
"112","道博股份 600136"
"113","浪莎股份 600137"
"114","中青旅 600138"
"115","西部资源 600139"
"116","兴发集团 600141"
"117","金发科技 600143"
"118","*ST四维 600145"
"119","大元股份 600146"
"120","长春一东 600148"
"121","*ST建通 600149"
"122","中国船舶 600150"
"123","航天机电 600151"
"124","维科精华 600152"
"125","建发股份 600153"
"126","*ST宝硕 600155"
"127","华升股份 600156"
"128","永泰能源 600157"
"129","中体产业 600158"
"130","大龙地产 600159"
"131","巨化股份 600160"
"132","天坛生物 600161"
"133","香江控股 600162"
"134","福建南纸 600163"
"135","宁夏恒力 600165"
"136","福田汽车 600166"
"137","联美控股 600167"
"138","武汉控股 600168"
"139","太原重工 600169"
"140","上海建工 600170"
"141","上海贝岭 600171"
"142","黄河旋风 600172"
"143","卧龙地产 600173"
"144","美都控股 600175"
"145","中国玻纤 600176"
"146","雅戈尔 600177"
"147","东安动力 600178"
"148","*ST黑化 600179"
"149","*ST九发 600180"
"150","S佳通 600182"
"151","生益科技 600183"
"152","光电股份 600184"
"153","格力地产 600185"
"154","莲花味精 600186"
"155","国中水务 600187"
"156","兖州煤业 600188"
"157","吉林森工 600189"
"158","锦州港 600190"
"159","华资实业 600191"
"160","长城电工 600192"
"161","创兴置业 600193"
"162","中牧股份 600195"
"163","复星医药 600196"
"164","伊力特 600197"
"165","大唐电信 600198"
"166","金种子酒 600199"
"167","江苏吴中 600200"
"168","金宇集团 600201"
"169","哈空调 600202"
"170","*ST福日 600203"
"171","有研硅股 600206"
"172","ST安彩 600207"
"173","新湖中宝 600208"
"174","*ST罗顿 600209"
"175","紫江企业 600210"
"176","西藏药业 600211"
"177","江泉实业 600212"
"178","亚星客车 600213"
"179","长春经开 600215"
"180","浙江医药 600216"
"181","*ST秦岭 600217"
"182","全柴动力 600218"
"183","南山铝业 600219"
"184","江苏阳光 600220"
"185","海南航空 600221"
"186","太龙药业 600222"
"187","鲁商置业 600223"
"188","天津松江 600225"
"189","升华拜克 600226"
"190","赤天化 600227"
"191","昌九生化 600228"
"192","青岛碱业 600229"
"193","沧州大化 600230"
"194","凌钢股份 600231"
"195","金鹰股份 600232"
"196","大杨创世 600233"
"197","ST天龙 600234"
"198","民丰特纸 600235"
"199","桂冠电力 600236"
"200","铜峰电子 600237"
"201","海南椰岛 600238"
"202","云南城投 600239"
"203","华业地产 600240"
"204","时代万恒 600241"
"205","ST华龙 600242"
"206","青海华鼎 600243"
"207","万通地产 600246"
"208","成城股份 600247"
"209","延长化建 600248"
"210","两面针 600249"
"211","南纺股份 600250"
"212","冠农股份 600251"
"213","中恒集团 600252"
"214","天方药业 600253"
"215","鑫科材料 600255"
"216","广汇股份 600256"
"217","大湖股份 600257"
"218","首旅股份 600258"
"219","广晟有色 600259"
"220","凯乐科技 600260"
"221","阳光照明 600261"
"222","北方股份 600262"
"223","路桥建设 600263"
"224","景谷林业 600265"
"225","北京城建 600266"
"226","海正药业 600267"
"227","国电南自 600268"
"228","赣粤高速 600269"
"229","外运发展 600270"
"230","航天信息 600271"
"231","开开实业 600272"
"232","华芳纺织 600273"
"233","ST昌鱼 600275"
"234","恒瑞医药 600276"
"235","亿利能源 600277"
"236","东方创业 600278"
"237","重庆港九 600279"
"238","南京中商 600280"
"239","太化股份 600281"
"240","南钢股份 600282"
"241","钱江水利 600283"
"242","浦东建设 600284"
"243","羚锐制药 600285"
"244","江苏舜天 600287"
"245","大恒科技 600288"
"246","亿阳信通 600289"
"247","华仪电气 600290"
"248","西水股份 600291"
"249","九龙电力 600292"
"250","三峡新材 600293"
"251","鄂尔多斯 600295"
"252","美罗药业 600297"
"253","安琪酵母 600298"
"254","*ST新材 600299"
"255","维维股份 600300"
"256","*ST南化 600301"
"257","标准股份 600302"
"258","曙光股份 600303"
"259","恒顺醋业 600305"
"260","商业城 600306"
"261","酒钢宏兴 600307"
"262","华泰股份 600308"
"263","烟台万华 600309"
"264","桂东电力 600310"
"265","荣华实业 600311"
"266","平高电气 600312"
"267","上海家化 600315"
"268","洪都航空 600316"
"269","营口港 600317"
"270","巢东股份 600318"
"271","亚星化学 600319"
"272","振华重工 600320"
"273","国栋建设 600321"
"274","天房发展 600322"
"275","南海发展 600323"
"276","华发股份 600325"
"277","西藏天路 600326"
"278","大厦股份 600327"
"279","兰太实业 600328"
"280","中新药业 600329"
"281","天通股份 600330"
"282","宏达股份 600331"
"283","广州药业 600332"
"284","长春燃气 600333"
"285","*ST盛工 600335"
"286","澳柯玛 600336"
"287","美克股份 600337"
"288","ST珠峰 600338"
"289","天利高新 600339"
"290","ST国祥 600340"
"291","航天动力 600343"
"292","长江通信 600345"
"293","大橡塑 600346"
"294","国阳新能 600348"
"295","山东高速 600350"
"296","亚宝药业 600351"
"297","浙江龙盛 600352"
"298","旭光股份 600353"
"299","敦煌种业 600354"
"300","*ST精伦 600355"
"301","恒丰纸业 600356"
"302","国旅联合 600358"
"303","新农开发 600359"
"304","华微电子 600360"
"305","华联综超 600361"
"306","江西铜业 600362"
"307","联创光电 600363"
"308","*ST通葡 600365"
"309","宁波韵升 600366"
"310","红星发展 600367"
"311","五洲交通 600368"
"312","西南证券 600369"
"313","三房巷 600370"
"314","万向德农 600371"
"315","ST昌河 600372"
"316","*ST鑫新 600373"
"317","星马汽车 600375"
"318","首开股份 600376"
"319","宁沪高速 600377"
"320","天科股份 600378"
"321","宝光股份 600379"
"322","健康元 600380"
"323","ST贤成 600381"
"324","广东明珠 600382"
"325","金地集团 600383"
"326","ST金泰 600385"
"327","北巴传媒 600386"
"328","海越股份 600387"
"329","龙净环保 600388"
"330","江山股份 600389"
"331","金瑞科技 600390"
"332","成发科技 600391"
"333","太工天成 600392"
"334","东华实业 600393"
"335","盘江股份 600395"
"336","金山股份 600396"
"337","安源股份 600397"
"338","凯诺科技 600398"
"339","抚顺特钢 600399"
"340","红豆股份 600400"
"341","大有能源 600403"
"342","动力源 600405"
"343","国电南瑞 600406"
"344","安泰集团 600408"
"345","三友化工 600409"
"346","华胜天成 600410"
"347","小商品城 600415"
"348","湘电股份 600416"
"349","江淮汽车 600418"
"350","ST天宏 600419"
"351","现代制药 600420"
"352","ST国药 600421"
"353","昆明制药 600422"
"354","柳化股份 600423"
"355","青松建化 600425"
"356","华鲁恒升 600426"
"357","中远航运 600428"
"358","三元股份 600429"
"359","吉恩镍业 600432"
"360","冠豪高新 600433"
"361","中兵光电 600435"
"362","片仔癀 600436"
"363","通威股份 600438"
"364","瑞贝卡 600439"
"365","*ST国通 600444"
"366","金证股份 600446"
"367","华纺股份 600448"
"368","赛马实业 600449"
"369","涪陵电力 600452"
"370","*ST博通 600455"
"371","宝钛股份 600456"
"372","时代新材 600458"
"373","贵研铂业 600459"
"374","士兰微 600460"
"375","洪城水业 600461"
"376","*ST石岘 600462"
"377","空港股份 600463"
"378","迪康药业 600466"
"379","好当家 600467"
"380","百利电气 600468"
"381","风神股份 600469"
"382","六国化工 600470"
"383","华光股份 600475"
"384","湘邮科技 600476"
"385","杭萧钢构 600477"
"386","科力远 600478"
"387","千金药业 600479"
"388","凌云股份 600480"
"389","双良节能 600481"
"390","风帆股份 600482"
"391","福建南纺 600483"
"392","中创信测 600485"
"393","扬农化工 600486"
"394","亨通光电 600487"
"395","天药股份 600488"
"396","中金黄金 600489"
"397","*ST合臣 600490"
"398","龙元建设 600491"
"399","凤竹纺织 600493"
"400","晋西车轴 600495"
"401","精工钢构 600496"
"402","驰宏锌锗 600497"
"403","烽火通信 600498"
"404","科达机电 600499"
"405","中化国际 600500"
"406","航天晨光 600501"
"407","安徽水利 600502"
"408","华丽家族 600503"
"409","西昌电力 600505"
"410","ST香梨 600506"
"411","方大特钢 600507"
"412","上海能源 600508"
"413","天富热电 600509"
"414","黑牡丹 600510"
"415","国药股份 600511"
"416","腾达建设 600512"
"417","联环药业 600513"
"418","*ST筑信 600515"
"419","方大炭素 600516"
"420","置信电气 600517"
"421","康美药业 600518"
"422","贵州茅台 600519"
"423","三佳科技 600520"
"424","华海药业 600521"
"425","中天科技 600522"
"426","贵航股份 600523"
"427","长园集团 600525"
"428","菲达环保 600526"
"429","江南高纤 600527"
"430","中铁二局 600528"
"431","山东药玻 600529"
"432","交大昂立 600530"
"433","豫光金铅 600531"
"434","华阳科技 600532"
"435","栖霞建设 600533"
"436","天士力 600535"
"437","中国软件 600536"
"438","海通集团 600537"
"439","*ST国发 600538"
"440","狮头股份 600539"
"441","新赛股份 600540"
"442","莫高股份 600543"
"443","新疆城建 600545"
"444","山煤国际 600546"
"445","山东黄金 600547"
"446","深高速 600548"
"447","厦门钨业 600549"
"448","天威保变 600550"
"449","时代出版 600551"
"450","方兴科技 600552"
"451","九龙山 600555"
"452","康缘药业 600557"
"453","大西洋 600558"
"454","老白干酒 600559"
"455","金自天正 600560"
"456","江西长运 600561"
"457","*ST高陶 600562"
"458","法拉电子 600563"
"459","迪马股份 600565"
"460","洪城股份 600566"
"461","山鹰纸业 600567"
"462","中珠控股 600568"
"463","安阳钢铁 600569"
"464","恒生电子 600570"
"465","信雅达 600571"
"466","康恩贝 600572"
"467","惠泉啤酒 600573"
"468","芜湖港 600575"
"469","万好万家 600576"
"470","精达股份 600577"
"471","京能热电 600578"
"472","ST黄海 600579"
"473","卧龙电气 600580"
"474","八一钢铁 600581"
"475","天地科技 600582"
"476","海油工程 600583"
"477","长电科技 600584"
"478","海螺水泥 600585"
"479","金晶科技 600586"
"480","新华医疗 600587"
"481","用友软件 600588"
"482","广东榕泰 600589"
"483","泰豪科技 600590"
"484","龙溪股份 600592"
"485","大连圣亚 600593"
"486","益佰制药 600594"
"487","中孚实业 600595"
"488","新安股份 600596"
"489","光明乳业 600597"
"490","北大荒 600598"
"491","熊猫烟花 600599"
"492","青岛啤酒 600600"
"493","方正科技 600601"
"494","广电电子 600602"
"495","ST兴  业 600603"
"496","ST二纺 600604"
"497","汇通能源 600605"
"498","金丰投资 600606"
"499","*ST沪科 600608"
"500","*ST金杯 600609"
"501","SST中纺 600610"
"502","大众交通 600611"
"503","老凤祥 600612"
"504","永生投资 600613"
"505","鼎立股份 600614"
"506","丰华股份 600615"
"507","金枫酒业 600616"
